"","Year","variable","value","Month"
"490",1956,"Aug",-1.37,"Aug"
"491",1957,"Aug",-0.55,"Aug"
"492",1958,"Aug",-1.56,"Aug"
"493",1959,"Aug",0.06,"Aug"
"494",1960,"Aug",-1.4,"Aug"
"495",1961,"Aug",0.9,"Aug"
"496",1962,"Aug",0.14,"Aug"
"497",1963,"Aug",-0.64,"Aug"
"498",1964,"Aug",-1.77,"Aug"
"499",1965,"Aug",0.45,"Aug"
"500",1966,"Aug",-1.76,"Aug"
"501",1967,"Aug",1.44,"Aug"
"502",1968,"Aug",-0.66,"Aug"
"503",1969,"Aug",-1.45,"Aug"
"504",1970,"Aug",0.1,"Aug"
"505",1971,"Aug",1.55,"Aug"
"506",1972,"Aug",1.32,"Aug"
"507",1973,"Aug",-0.06,"Aug"
"508",1974,"Aug",-0.64,"Aug"
"509",1975,"Aug",-0.26,"Aug"
"510",1976,"Aug",1.92,"Aug"
"511",1977,"Aug",-0.28,"Aug"
"512",1978,"Aug",0.64,"Aug"
"513",1979,"Aug",0.96,"Aug"
"514",1980,"Aug",-2.24,"Aug"
"515",1981,"Aug",0.39,"Aug"
"516",1982,"Aug",0.26,"Aug"
"517",1983,"Aug",1.61,"Aug"
"518",1984,"Aug",1.15,"Aug"
"519",1985,"Aug",-0.48,"Aug"
"520",1986,"Aug",-1.09,"Aug"
"521",1987,"Aug",-0.83,"Aug"
"522",1988,"Aug",0.04,"Aug"
"523",1989,"Aug",0.01,"Aug"
"524",1990,"Aug",0.97,"Aug"
"525",1991,"Aug",1.23,"Aug"
"526",1992,"Aug",0.85,"Aug"
"527",1993,"Aug",0.12,"Aug"
"528",1994,"Aug",0.38,"Aug"
"529",1995,"Aug",0.69,"Aug"
"530",1996,"Aug",1.02,"Aug"
"531",1997,"Aug",0.83,"Aug"
"532",1998,"Aug",-0.02,"Aug"
"533",1999,"Aug",0.39,"Aug"
"534",2000,"Aug",-0.29,"Aug"
"535",2001,"Aug",-0.07,"Aug"
"536",2002,"Aug",0.38,"Aug"
"537",2003,"Aug",-0.07,"Aug"
"538",2004,"Aug",-0.48,"Aug"
"539",2005,"Aug",0.37,"Aug"
"540",2006,"Aug",-1.73,"Aug"
"541",2007,"Aug",-0.14,"Aug"
"542",2008,"Aug",-1.16,"Aug"
"543",2009,"Aug",-0.19,"Aug"
"544",2010,"Aug",-1.22,"Aug"
"545",2011,"Aug",-1.35,"Aug"
"546",2012,"Aug",-0.98,"Aug"
"547",2013,"Aug",0.97,"Aug"
"548",2014,"Aug",-1.68,"Aug"
"549",2015,"Aug",-0.76,"Aug"
"550",2016,"Aug",-1.65,"Aug"
"551",2017,"Aug",-1.1,"Aug"
"552",2018,"Aug",1.97,"Aug"
"553",1950,"Sept",0.25,"Sept"
"554",1951,"Sept",-1.36,"Sept"
"555",1952,"Sept",-0.54,"Sept"
"556",1953,"Sept",-0.35,"Sept"
"557",1954,"Sept",-0.44,"Sept"
"558",1955,"Sept",0.32,"Sept"
"559",1956,"Sept",0.24,"Sept"
"560",1957,"Sept",-1.66,"Sept"
